date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:44:30	35701/35701	---M--	200	added ('OK')	image/jpeg	etag:%228b75-5fbbd0988300e%22	https://neighboranimation.com/wp-content/uploads/2021/10/DISNEYSTORE_VR_1000x500-500x500.jpg	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2021/10/DISNEYSTORE_VR_1000x500-500x500.jpg	(from https://neighboranimation.com/)
21:44:30	88639/88639	---M--	200	added ('OK')	image/jpeg	etag:%2215a3f-5fbbd0988206e%22	https://neighboranimation.com/wp-content/uploads/2021/10/NBR_HOLIBEAR_1000x500_00001.jpg	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2021/10/NBR_HOLIBEAR_1000x500_00001.jpg	(from https://neighboranimation.com/)
21:44:30	33891/33891	---M--	200	added ('OK')	image/jpeg	etag:%228463-5fbbd0988012e%22	https://neighboranimation.com/wp-content/uploads/2021/10/NBR_THANKS_1000x500_00001-500x500.jpg	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2021/10/NBR_THANKS_1000x500_00001-500x500.jpg	(from https://neighboranimation.com/)
21:44:30	111634/111634	---MCZ	200	added ('OK')	text/html	etag:%22d8e0026839770d1e51ca498f727dfd3c%22	https://neighboranimation.com/work/ohio-lottery-holiday-magic/	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/work/ohio-lottery-holiday-magic/index.html	(from https://neighboranimation.com/)
21:44:30	31101/31101	---M--	200	added ('OK')	image/jpeg	etag:%22797d-5fbbd0986d84d%22	https://neighboranimation.com/wp-content/uploads/2021/10/HOOVER_1000x500.jpg	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2021/10/HOOVER_1000x500.jpg	(from https://neighboranimation.com/)
21:44:30	46672/46672	---M--	200	added ('OK')	image/jpeg	etag:%22b650-5fbbd0987360d%22	https://neighboranimation.com/wp-content/uploads/2021/10/LOCKOUT_COW_1000x500_00001.jpg	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2021/10/LOCKOUT_COW_1000x500_00001.jpg	(from https://neighboranimation.com/)
21:44:31	37333/37333	---M--	200	added ('OK')	image/jpeg	etag:%2291d5-5fbbd09884f4e%22	https://neighboranimation.com/wp-content/uploads/2021/10/OHLL_POWER_1000x500_00001-500x500.jpg	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2021/10/OHLL_POWER_1000x500_00001-500x500.jpg	(from https://neighboranimation.com/)
21:44:31	26939/26939	---M--	200	added ('OK')	image/jpeg	etag:%22693b-5fbbd098745ad%22	https://neighboranimation.com/wp-content/uploads/2021/10/NBC_COMMUN_1000x500_00001-500x500.jpg	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2021/10/NBC_COMMUN_1000x500_00001-500x500.jpg	(from https://neighboranimation.com/)
21:44:31	180988/180988	---M--	200	added ('OK')	image/jpeg	etag:%222c2fc-5fbbd098a81d0%22	https://neighboranimation.com/wp-content/uploads/2021/10/NBC_IMAGI_1000x500_00001.jpg	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/wp-content/uploads/2021/10/NBC_IMAGI_1000x500_00001.jpg	(from https://neighboranimation.com/)
21:44:31	111373/111373	---MCZ	200	added ('OK')	text/html	etag:%2237b0c31c972f5096fb1432563b27d4df%22	https://neighboranimation.com/work/countrymark-pdx-4/	C:/Users/Administrateur/Downloads/SiteWeb/Alex%20Chesnay/neighboranimation.com/work/countrymark-pdx-4/index.html	(from https://neighboranimation.com/)
